"id transaksi","barang"
"00379","Kinesio, Sepatu Futsal"
"00380","Sepatu Bola, Kaos Kaki"
"00381","Jogger, Kok"
"00382","Celana, Kaos Kaki"
"00383","Celana, Kaos Kaki"
"00384","Kaos, Celana"
"00385","Net, Tas"
"00386","Stelan, Sepatu Futsal"
"00387","Stelan, Celana"
"00388","Kaos, Celana"
"00389","Sepatu Bola, Celana"
"00390","Sepatu Voli, Net"
"00391","Kaos Kaki, Celana, Kaos"
"00392","Kaos, Celana"
"00393","Sepatu Bola, Kaos Kaki"
"00394","Celana, Jogger"
"00395","Sepatu Bola, Tas"
"00396","Kacamata Renang, Baju Renang, Tas"
"00397","Sepatu Futsal, Kaos Kaki"
"00398","Kaos Kaki, Celana"
"00399","Stelan, Kaos Kaki"
"00400","Bola Futsal, Kaos"
